Sujet;Sujet_name;;Cible;Cible_name;Material;Material_name;Slope;Slope_name;Trial;Trial_name;Trials_All;Duration;Amplitude;Impact_Speed;Spatial_Error
11;sujet11;C;2;50;1;alu;1;m10;8;8;68;0.1;77.71173177;1.560600551;-1.5460423
11;sujet11;C;2;50;1;alu;1;m10;9;9;69;0.096;84.93116189;2.067567547;17.74865216
11;sujet11;C;2;50;1;alu;1;m10;10;10;70;0.076;64.04692008;2.177449747;2.140400135
11;sujet11;C;2;50;1;alu;2;0;1;1;71;0.124;144.4316826;3.527488536;-12.65057297
11;sujet11;C;2;50;1;alu;2;0;2;2;72;0.096;130.6960808;3.416996894;3.617949726
11;sujet11;C;2;50;1;alu;2;0;3;3;73;0.076;106.6401602;3.298649008;42.67424838
11;sujet11;C;2;50;1;alu;2;0;4;4;74;0.088;101.5599872;2.843653098;7.659025658
11;sujet11;C;2;50;1;alu;2;0;5;5;75;0.084;81.09394927;2.537131267;-17.91897377
11;sujet11;C;2;50;1;alu;2;0;6;6;76;0.088;90.82991651;2.603113642;-16.64072044
11;sujet11;C;2;50;1;alu;2;0;7;7;77;0.096;110.5416071;2.884547126;27.07705317
11;sujet11;C;2;50;1;alu;2;0;8;8;78;0.08;88.32753423;2.946440895;8.850402606
11;sujet11;C;2;50;1;alu;2;0;9;9;79;0.084;97.2492109;2.860667648;3.924855933
11;sujet11;C;2;50;1;alu;2;0;10;10;80;0.1;104.2867794;2.993999992;16.90462883
11;sujet11;C;2;50;1;alu;3;p10;1;1;81;0.116;153.3862917;3.200747767;-8.727568814
11;sujet11;C;2;50;1;alu;3;p10;2;2;82;0.088;87.65966783;2.828068255;-41.511348
11;sujet11;C;2;50;1;alu;3;p10;3;3;83;0.108;134.9460093;3.667083192;-49.90445141
11;sujet11;C;2;50;1;alu;3;p10;4;4;84;0.14;150.0374351;3.214287786;-3.153167197
11;sujet11;C;2;50;1;alu;3;p10;5;5;85;0.088;119.9318441;3.472673104;-31.59218025
11;sujet11;C;2;50;1;alu;3;p10;6;6;86;0.096;118.6377841;3.115716563;-0.89942057
11;sujet11;C;2;50;1;alu;3;p10;7;7;87;0.096;143.6519439;2.809951726;-2.20437373
11;sujet11;C;2;50;1;alu;3;p10;8;8;88;0.088;111.6441361;3.120264117;-25.30192116
11;sujet11;C;2;50;1;alu;3;p10;9;9;89;0.1;164.6169336;3.404334617;36.44762911
11;sujet11;C;2;50;1;alu;3;p10;10;10;90;0.108;107.9168568;2.555076322;-26.9174381
11;sujet11;C;2;50;2;balsa;1;m10;1;1;91;0.112;184.0972548;3.368221448;-33.86294839
11;sujet11;C;2;50;2;balsa;1;m10;2;2;92;0.164;225.8917448;3.354115781;-24.46193912
11;sujet11;C;2;50;2;balsa;1;m10;3;3;93;0.188;206.9003191;3.043651056;-29.11437171
11;sujet11;C;2;50;2;balsa;1;m10;4;4;94;0.176;229.5744586;3.597333495;15.93028362
11;sujet11;C;2;50;2;balsa;1;m10;5;5;95;0.112;162.2670034;3.198145965;-26.89819622
11;sujet11;C;2;50;2;balsa;1;m10;6;6;96;0.112;188.1686758;3.541889849;-5.193710258
11;sujet11;C;2;50;2;balsa;1;m10;7;7;97;0.132;196.2691759;3.931560093;-9.943599317
11;sujet11;C;2;50;2;balsa;1;m10;8;8;98;0.16;223.9657583;3.489982542;-17.55667901
11;sujet11;C;2;50;2;balsa;1;m10;9;9;99;0.208;184.1144594;3.279596643;-25.79092282
11;sujet11;C;2;50;2;balsa;1;m10;10;10;100;0.112;183.5888383;3.913210719;-26.77207634
11;sujet11;C;2;50;2;balsa;2;0;1;1;101;0.136;124.5009741;2.4490093;-16.11378329
11;sujet11;C;2;50;2;balsa;2;0;2;2;102;0.092;138.196046;3.470741215;-17.6641662
11;sujet11;C;2;50;2;balsa;2;0;3;3;103;0.096;121.8944988;2.375793942;-43.45651824
11;sujet11;C;2;50;2;balsa;2;0;4;4;104;0.112;175.323829;2.129329977;-21.9457186
11;sujet11;C;2;50;2;balsa;2;0;5;5;105;0.12;171.0098329;2.704298638;-76.13074428
11;sujet11;C;2;50;2;balsa;2;0;6;6;106;0.128;163.7865494;3.022400616;-10.63874597
11;sujet11;C;2;50;2;balsa;2;0;7;7;107;0.112;157.1878371;2.990863566;2.008402265
11;sujet11;C;2;50;2;balsa;2;0;8;8;108;0.12;149.0374877;2.950988838;-24.22711748
11;sujet11;C;2;50;2;balsa;2;0;9;9;109;0.124;194.5580536;3.072509835;9.831078463
11;sujet11;C;2;50;2;balsa;2;0;10;10;110;0.124;184.8929027;2.675915124;6.691673067
