Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
14;M;50;balsa;0;5;0,072;187,0340155;2,760565877
14;M;50;balsa;0;6;0,1;195,6718431;2,804426115
14;M;50;balsa;0;7;0,096;176,7849062;3,022243728
14;M;50;balsa;0;8;0,092;177,363249;2,118788232
14;M;50;balsa;0;9;0,112;165,6385995;2,587856167
14;M;50;balsa;0;10;0,1;167,9637556;2,579630955
14;M;50;balsa;m10;1;0,092;174,1952684;2,239369807
14;M;50;balsa;m10;2;0,116;180,569951;2,485848377
14;M;50;balsa;m10;3;0,116;180,3892023;2,356398698
14;M;50;balsa;m10;4;0,12;187,4558959;2,275132177
14;M;50;balsa;m10;5;0,116;178,5347229;2,220237876
14;M;50;balsa;m10;6;0,136;195,6495233;2,463788862
14;M;50;balsa;m10;7;0,128;187,5916606;2,424704148
14;M;50;balsa;m10;8;0,136;208,9603361;2,578855733
14;M;50;balsa;m10;9;0,14;198,4837569;2,353697105
14;M;50;balsa;m10;10;0,132;214,3886337;2,606786729
14;M;50;balsa;p10;1;0,096;229,1975453;3,688327562
14;M;50;balsa;p10;2;0,084;165,8071761;2,33237505
14;M;50;balsa;p10;3;0,108;196,3198244;2,694770859
14;M;50;balsa;p10;4;0,14;216,284638;2,694654004
14;M;50;balsa;p10;5;0,1;198,0230649;2,817634458
14;M;50;balsa;p10;6;0,132;205,7254139;2,73741922
14;M;50;balsa;p10;7;0,108;215,1082938;2,690901396
14;M;50;balsa;p10;8;0,108;228,7485263;3,085914518
14;M;50;balsa;p10;9;0,132;199,1726962;2,713338544
14;M;50;balsa;p10;10;0,164;221,0902179;2,905473062
16;M;25;alu;0;1;0,08;129,6561101;1,67601941
16;M;25;alu;0;2;0,084;145,3523386;1,840117508
16;M;25;alu;0;3;0,088;143,899989;1,844817996
16;M;25;alu;0;4;0,092;147,9985435;2,104697473
16;M;25;alu;0;5;0,076;137,2954346;2,147865007
16;M;25;alu;0;6;0,076;148,6991635;2,507569319
16;M;25;alu;0;7;0,072;139,7613496;2,024230221
16;M;25;alu;0;8;0,068;149,282517;2,199563262
16;M;25;alu;0;9;0,076;138,6779916;1,899078322
16;M;25;alu;0;10;0,088;152,7249817;1,870671721
16;M;25;alu;m10;1;0,08;116,874143;1,792524872
16;M;25;alu;m10;2;0,084;110,3543194;1,118718563
16;M;25;alu;m10;3;0,076;123,4277962;1,560383949
16;M;25;alu;m10;4;0,084;145,1571971;1,704819008
16;M;25;alu;m10;5;0,072;133,9771992;1,776444184
16;M;25;alu;m10;6;0,08;144,7312752;2,668006545
16;M;25;alu;m10;7;0,08;126,3472986;1,667816589
16;M;25;alu;m10;8;0,084;130,0588871;1,650142233
